TIMESLICE,YEAR,VALUE
S1P2,2028,0.102739726
S1P3,2028,0.04109589
S1P4,2028,0.030821918
S2P1,2028,0.073515982
S2P2,2028,0.105022831
S2P3,2028,0.042009132
S2P4,2028,0.031506849
S3P1,2028,0.073515982
S3P2,2028,0.105022831
S3P3,2028,0.042009132
S3P4,2028,0.031506849
S4P1,2028,0.072716895
S4P2,2028,0.103881279
S4P3,2028,0.041552511
S4P4,2028,0.031164384
S1P1,2029,0.071917808
S1P2,2029,0.102739726
S1P3,2029,0.04109589
S1P4,2029,0.030821918
S2P1,2029,0.073515982
S2P2,2029,0.105022831
S2P3,2029,0.042009132
S2P4,2029,0.031506849
S3P1,2029,0.073515982
S3P2,2029,0.105022831
S3P3,2029,0.042009132
S3P4,2029,0.031506849
S4P1,2029,0.072716895
S4P2,2029,0.103881279
S4P3,2029,0.041552511
S4P4,2029,0.031164384
S1P1,2030,0.071917808
S1P2,2030,0.102739726
S1P3,2030,0.04109589
S1P4,2030,0.030821918
S2P1,2030,0.073515982
S2P2,2030,0.105022831
S2P3,2030,0.042009132
S2P4,2030,0.031506849
S3P1,2030,0.073515982
S3P2,2030,0.105022831
S3P3,2030,0.042009132
S3P4,2030,0.031506849
S4P1,2030,0.072716895
S4P2,2030,0.103881279
S4P3,2030,0.041552511
S4P4,2030,0.031164384
S1P1,2031,0.071917808
S1P2,2031,0.102739726
S1P3,2031,0.04109589
S1P4,2031,0.030821918
S2P1,2031,0.073515982
S2P2,2031,0.105022831
S2P3,2031,0.042009132
S2P4,2031,0.031506849
S3P1,2031,0.073515982
S3P2,2031,0.105022831
S3P3,2031,0.042009132
S3P4,2031,0.031506849
S4P1,2031,0.072716895
S4P2,2031,0.103881279
S4P3,2031,0.041552511
S4P4,2031,0.031164384
S1P1,2032,0.071917808
S1P2,2032,0.102739726
S1P3,2032,0.04109589
S1P4,2032,0.030821918
S2P1,2032,0.073515982
S2P2,2032,0.105022831
S2P3,2032,0.042009132
S2P4,2032,0.031506849
S3P1,2032,0.073515982
S3P2,2032,0.105022831
S3P3,2032,0.042009132
S3P4,2032,0.031506849
S4P1,2032,0.072716895
S4P2,2032,0.103881279
S4P3,2032,0.041552511
S4P4,2032,0.031164384
S1P1,2033,0.071917808
S1P2,2033,0.102739726
S1P3,2033,0.04109589
S1P4,2033,0.030821918
S2P1,2033,0.073515982
S2P2,2033,0.105022831
S2P3,2033,0.042009132
S2P4,2033,0.031506849
S3P1,2033,0.073515982
S3P2,2033,0.105022831
S3P3,2033,0.042009132
S3P4,2033,0.031506849
S4P1,2033,0.072716895
S4P2,2033,0.103881279
S4P3,2033,0.041552511
S4P4,2033,0.031164384
S1P1,2034,0.071917808
S1P2,2034,0.102739726
S1P3,2034,0.04109589
S1P4,2034,0.030821918
S2P1,2034,0.073515982
S2P2,2034,0.105022831
S2P3,2034,0.042009132
S2P4,2034,0.031506849
S3P1,2034,0.073515982
S3P2,2034,0.105022831
S3P3,2034,0.042009132
S3P4,2034,0.031506849
S4P1,2034,0.072716895
S4P2,2034,0.103881279
S4P3,2034,0.041552511
S4P4,2034,0.031164384
S1P1,2035,0.071917808
S1P2,2035,0.102739726
S1P3,2035,0.04109589
S1P4,2035,0.030821918
S2P1,2035,0.073515982
S2P2,2035,0.105022831
S2P3,2035,0.042009132
S2P4,2035,0.031506849
S3P1,2035,0.073515982
S3P2,2035,0.105022831
S3P3,2035,0.042009132
S3P4,2035,0.031506849
S4P1,2035,0.072716895
S4P2,2035,0.103881279
S4P3,2035,0.041552511
S4P4,2035,0.031164384
S1P1,2036,0.071917808
S1P2,2036,0.102739726
S1P3,2036,0.04109589
S1P4,2036,0.030821918
S2P1,2036,0.073515982
S2P2,2036,0.105022831
S2P3,2036,0.042009132
S2P4,2036,0.031506849
S3P1,2036,0.073515982
S3P2,2036,0.105022831
S3P3,2036,0.042009132
S3P4,2036,0.031506849
S4P1,2036,0.072716895
S4P2,2036,0.103881279
S4P3,2036,0.041552511
S4P4,2036,0.031164384
S1P1,2037,0.071917808
S1P2,2037,0.102739726
S1P3,2037,0.04109589
S1P4,2037,0.030821918
S2P1,2037,0.073515982
S2P2,2037,0.105022831
S2P3,2037,0.042009132
S2P4,2037,0.031506849
S3P1,2037,0.073515982
S3P2,2037,0.105022831
S3P3,2037,0.042009132
S3P4,2037,0.031506849
S4P1,2037,0.072716895
S4P2,2037,0.103881279
S4P3,2037,0.041552511
S4P4,2037,0.031164384
S1P1,2038,0.071917808
S1P2,2038,0.102739726
S1P3,2038,0.04109589
S1P4,2038,0.030821918
S2P1,2038,0.073515982
S2P2,2038,0.105022831
S2P3,2038,0.042009132
S2P4,2038,0.031506849
S3P1,2038,0.073515982
S3P2,2038,0.105022831
S3P3,2038,0.042009132
S3P4,2038,0.031506849
S4P1,2038,0.072716895
S4P2,2038,0.103881279
S4P3,2038,0.041552511
S4P4,2038,0.031164384
S1P1,2039,0.071917808
S1P2,2039,0.102739726
S1P3,2039,0.04109589
S1P4,2039,0.030821918
S2P1,2039,0.073515982
S2P2,2039,0.105022831
S2P3,2039,0.042009132
S2P4,2039,0.031506849
S3P1,2039,0.073515982
S3P2,2039,0.105022831
S3P3,2039,0.042009132
S3P4,2039,0.031506849
S4P1,2039,0.072716895
S4P2,2039,0.103881279
S4P3,2039,0.041552511
S4P4,2039,0.031164384
S1P1,2040,0.071917808
S1P2,2040,0.102739726
S1P3,2040,0.04109589
S1P4,2040,0.030821918
S2P1,2040,0.073515982
S2P2,2040,0.105022831
S2P3,2040,0.042009132
S2P4,2040,0.031506849
S3P1,2040,0.073515982
S3P2,2040,0.105022831
S3P3,2040,0.042009132
S3P4,2040,0.031506849
S4P1,2040,0.072716895
S4P2,2040,0.103881279
S4P3,2040,0.041552511
S4P4,2040,0.031164384
S1P1,2041,0.071917808
S1P2,2041,0.102739726
S1P3,2041,0.04109589
S1P4,2041,0.030821918
S2P1,2041,0.073515982
S2P2,2041,0.105022831
S2P3,2041,0.042009132
S2P4,2041,0.031506849
S3P1,2041,0.073515982
S3P2,2041,0.105022831
S3P3,2041,0.042009132
S3P4,2041,0.031506849
S4P1,2041,0.072716895
S4P2,2041,0.103881279
S4P3,2041,0.041552511
S4P4,2041,0.031164384
S1P1,2042,0.071917808
S1P2,2042,0.102739726
S1P3,2042,0.04109589
S1P4,2042,0.030821918
S2P1,2042,0.073515982
S2P2,2042,0.105022831
S2P3,2042,0.042009132
S2P4,2042,0.031506849
S3P1,2042,0.073515982
S3P2,2042,0.105022831
S3P3,2042,0.042009132
S3P4,2042,0.031506849
S4P1,2042,0.072716895
S4P2,2042,0.103881279
S4P3,2042,0.041552511
S4P4,2042,0.031164384
S1P1,2043,0.071917808
S1P2,2043,0.102739726
S1P3,2043,0.04109589
S1P4,2043,0.030821918
S2P1,2043,0.073515982
S2P2,2043,0.105022831
S2P3,2043,0.042009132
S2P4,2043,0.031506849
S3P1,2043,0.073515982
S3P2,2043,0.105022831
S3P3,2043,0.042009132
S3P4,2043,0.031506849
S4P1,2043,0.072716895
S4P2,2043,0.103881279
S4P3,2043,0.041552511
S4P4,2043,0.031164384
S1P1,2044,0.071917808
S1P2,2044,0.102739726
S1P3,2044,0.04109589
S1P4,2044,0.030821918
S2P1,2044,0.073515982
S2P2,2044,0.105022831
S2P3,2044,0.042009132
S2P4,2044,0.031506849
S3P1,2044,0.073515982
S3P2,2044,0.105022831
S3P3,2044,0.042009132
S3P4,2044,0.031506849
S4P1,2044,0.072716895
S4P2,2044,0.103881279
S4P3,2044,0.041552511
S4P4,2044,0.031164384
S1P1,2045,0.071917808
S1P2,2045,0.102739726
S1P3,2045,0.04109589
S1P4,2045,0.030821918
S2P1,2045,0.073515982
S2P2,2045,0.105022831
S2P3,2045,0.042009132
S2P4,2045,0.031506849
S3P1,2045,0.073515982
S3P2,2045,0.105022831
S3P3,2045,0.042009132
S3P4,2045,0.031506849
S4P1,2045,0.072716895
S4P2,2045,0.103881279
S4P3,2045,0.041552511
S4P4,2045,0.031164384
S1P1,2046,0.071917808
S1P2,2046,0.102739726
S1P3,2046,0.04109589
S1P4,2046,0.030821918
S2P1,2046,0.073515982
S2P2,2046,0.105022831
S2P3,2046,0.042009132
S2P4,2046,0.031506849
S3P1,2046,0.073515982
S3P2,2046,0.105022831
S3P3,2046,0.042009132
S3P4,2046,0.031506849
S4P1,2046,0.072716895
S4P2,2046,0.103881279
S4P3,2046,0.041552511
S4P4,2046,0.031164384
S1P1,2047,0.071917808
S1P2,2047,0.102739726
S1P3,2047,0.04109589
S1P4,2047,0.030821918
S2P1,2047,0.073515982
S2P2,2047,0.105022831
S2P3,2047,0.042009132
S2P4,2047,0.031506849
S3P1,2047,0.073515982
S3P2,2047,0.105022831
S3P3,2047,0.042009132
S3P4,2047,0.031506849
S4P1,2047,0.072716895
S4P2,2047,0.103881279
S4P3,2047,0.041552511
S4P4,2047,0.031164384
S1P1,2048,0.071917808
S1P2,2048,0.102739726
S1P3,2048,0.04109589
S1P4,2048,0.030821918
S2P1,2048,0.073515982
S2P2,2048,0.105022831
S2P3,2048,0.042009132
S2P4,2048,0.031506849
S3P1,2048,0.073515982
S3P2,2048,0.105022831
S3P3,2048,0.042009132
S3P4,2048,0.031506849
S4P1,2048,0.072716895
S4P2,2048,0.103881279
S4P3,2048,0.041552511
S4P4,2048,0.031164384
S1P1,2049,0.071917808
S1P2,2049,0.102739726
S1P3,2049,0.04109589
S1P4,2049,0.030821918
S2P1,2049,0.073515982
S2P2,2049,0.105022831
S2P3,2049,0.042009132
S2P4,2049,0.031506849
S3P1,2049,0.073515982
S3P2,2049,0.105022831
S3P3,2049,0.042009132
S3P4,2049,0.031506849
S4P1,2049,0.072716895
S4P2,2049,0.103881279
S4P3,2049,0.041552511
S4P4,2049,0.031164384
S1P1,2050,0.071917808
S1P2,2050,0.102739726
S1P3,2050,0.04109589
S1P4,2050,0.030821918
S2P1,2050,0.073515982
S2P2,2050,0.105022831
S2P3,2050,0.042009132
S2P4,2050,0.031506849
S3P1,2050,0.073515982
S3P2,2050,0.105022831
S3P3,2050,0.042009132
S3P4,2050,0.031506849
S4P1,2050,0.072716895
S4P2,2050,0.103881279
S4P3,2050,0.041552511
S4P4,2050,0.031164384
S1P1,2051,0.071917808
S1P2,2051,0.102739726
S1P3,2051,0.04109589
S1P4,2051,0.030821918
S2P1,2051,0.073515982
S2P2,2051,0.105022831
S2P3,2051,0.042009132
S2P4,2051,0.031506849
S3P1,2051,0.073515982
S3P2,2051,0.105022831
S3P3,2051,0.042009132
S3P4,2051,0.031506849
S4P1,2051,0.072716895
S4P2,2051,0.103881279
S4P3,2051,0.041552511
S4P4,2051,0.031164384
S1P1,2052,0.071917808
S1P2,2052,0.102739726
S1P3,2052,0.04109589
S1P4,2052,0.030821918
S2P1,2052,0.073515982
S2P2,2052,0.105022831
S2P3,2052,0.042009132
S2P4,2052,0.031506849
S3P1,2052,0.073515982
S3P2,2052,0.105022831
S3P3,2052,0.042009132
S3P4,2052,0.031506849
S4P1,2052,0.072716895
S4P2,2052,0.103881279
S4P3,2052,0.041552511
S4P4,2052,0.031164384
S1P1,2053,0.071917808
S1P2,2053,0.102739726
S1P3,2053,0.04109589
S1P4,2053,0.030821918
S2P1,2053,0.073515982
S2P2,2053,0.105022831
S2P3,2053,0.042009132
S2P4,2053,0.031506849
S3P1,2053,0.073515982
S3P2,2053,0.105022831
S3P3,2053,0.042009132
S3P4,2053,0.031506849
S4P1,2053,0.072716895
S4P2,2053,0.103881279
S4P3,2053,0.041552511
S4P4,2053,0.031164384
S1P1,2054,0.071917808
S1P2,2054,0.102739726
S1P3,2054,0.04109589
S1P4,2054,0.030821918
S2P1,2054,0.073515982
S2P2,2054,0.105022831
S2P3,2054,0.042009132
S2P4,2054,0.031506849
S3P1,2054,0.073515982
S3P2,2054,0.105022831
S3P3,2054,0.042009132
S3P4,2054,0.031506849
S4P1,2054,0.072716895
S4P2,2054,0.103881279
S4P3,2054,0.041552511
S4P4,2054,0.031164384
S1P1,2055,0.071917808
S1P2,2055,0.102739726
S1P3,2055,0.04109589
S1P4,2055,0.030821918
S2P1,2055,0.073515982
S2P2,2055,0.105022831
S2P3,2055,0.042009132
S2P4,2055,0.031506849
S3P1,2055,0.073515982
S3P2,2055,0.105022831
S3P3,2055,0.042009132
S3P4,2055,0.031506849
S4P1,2055,0.072716895
S4P2,2055,0.103881279
S4P3,2055,0.041552511
S4P4,2055,0.031164384
